team_code,first_name,last_name,position,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
ARC,Adam,Ghitelman,Goalie,9,0,0,0,2,2,3,1,11,0,0,0,2,0,0,3,1,0,1,0,0,2,2,7,0,0,0,0,0,0
ARC,Austin,Sims,Midfield,3,2,2,0,12,6,2,0,1,2,10,0,2,0,0,1,0,0,0,3,1,0,1,2,0,3,0,0,0,0
ARC,Ben,McIntosh,Midfield,10,13,11,2,44,27,7,0,7,11,43,0,1,0,0,2,3,1,2,7,5,0,0,0,1,7,0,0,0,0
ARC,Christian,Cuccinello,Attack,8,12,8,4,28,17,7,0,10,8,27,0,1,0,0,3,5,4,1,9,8,1,1,6,4,9,0,0,0,0
ARC,Danny,Eipp,Midfield,9,9,5,4,19,12,4,1,3,5,19,0,0,0,0,3,6,3,3,9,6,1,1,3,3,9,0,0,0,0
ARC,Davey,Emala,Attack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,0,0,0,1,3,0,0,0,0
ARC,Dominique,Alexander,Midfield,10,1,0,1,3,1,2,5,15,0,2,0,1,0,0,3,1,1,0,2,1,0,0,3,1,2,0,0,0,0
ARC,Drew,Adams,Goalie,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ARC,Evan,Connell,Defense,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ARC,Goran,Murray,Defense,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Ian,MacKay,Midfield,4,3,2,1,11,7,3,0,1,2,8,0,3,0,0,1,0,0,0,3,2,1,0,0,0,3,0,0,0,0
ARC,Jackson,Place,Defense,10,0,0,0,0,0,1,12,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
ARC,Kevin,Rice,Attack,6,7,3,4,27,17,7,0,4,3,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Marcus,Holman,Attack,10,32,23,7,74,43,19,0,17,21,64,2,10,0,0,3,11,10,1,31,21,7,3,7,10,30,0,1,0,0
ARC,Mark,McNeill,Midfield,9,0,0,0,2,2,3,3,18,0,2,0,0,0,0,3,0,0,0,2,0,0,2,9,0,2,0,0,0,0
ARC,Matt,McMahon,Defense,10,0,0,0,3,0,3,11,23,0,0,0,3,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0
ARC,Michael,Noone,Defense,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Nick,Tintle,Midfield,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Ryan,Ambler,Attack,9,10,3,7,14,6,6,0,5,3,14,0,0,0,0,3,10,6,4,16,11,4,0,3,6,16,0,0,0,0
ARC,Stephen,Kelly,Faceoff,10,7,3,4,8,7,5,0,58,3,8,0,0,94,192,3,3,1,2,1,1,4,1,25,1,1,0,0,37,52
ARC,Scott,Ratliff,Defense,10,4,2,2,15,6,8,13,29,2,8,0,7,1,8,3,7,3,3,4,4,3,1,10,2,3,1,1,0,0
ARC,Steve,Waldeck,Defense,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC,Tom,Schreiber,Midfield,10,37,17,18,59,29,22,1,9,15,52,2,7,0,0,1,2,0,2,2,1,0,0,0,0,1,0,1,0,0
ARC,Tyler,Pfister,Midfield,8,2,0,2,6,3,2,1,4,0,5,0,1,0,0,3,0,0,0,2,1,1,0,1,0,2,0,0,0,0
ARC,Will,Manny,Attack,10,30,22,7,74,50,20,1,7,21,72,1,2,0,0,3,20,13,7,27,19,8,1,3,13,27,0,0,0,0
ARC,Mike,Simon,Defense,7,2,1,0,6,3,0,3,6,0,3,1,3,0,2,3,3,2,0,3,3,0,2,2,1,1,1,2,0,0
ARC,Curtis,Corley,Defense,6,0,0,0,0,0,2,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,2,6,0,0,0,0,0,0
ARC,Brendan,Fowler,Faceoff,5,0,0,0,3,2,1,0,9,0,3,0,0,18,41,3,1,0,1,1,0,0,0,10,0,1,0,0,17,35
ARC,Joey,Sankey,Attack,5,9,4,5,29,19,6,1,8,4,29,0,0,0,0,3,6,2,4,11,5,6,0,2,2,11,0,0,0,0
ATL,Andrew,Hodgson,Midfield,2,1,1,0,3,2,2,2,4,1,1,0,2,0,0,1,1,1,0,4,2,1,0,2,1,4,0,0,0,0
ATL,Austin,Pifani,Defense,10,0,0,0,2,1,2,3,11,0,2,0,0,0,0,2,0,0,0,2,1,2,4,5,0,1,0,1,0,0
ATL,Callum,Robinson,Defense,8,0,0,0,0,0,4,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Chris,Cloutier,Attack,7,14,9,5,27,17,10,1,10,9,27,0,0,0,0,2,2,1,1,7,2,1,0,5,1,7,0,0,0,0
ATL,Chris,Mattes,Faceoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Connor,Buczek,Midfield,10,22,16,4,64,42,13,2,6,14,50,2,14,0,0,1,9,6,0,12,10,2,0,0,3,6,3,6,0,0
ATL,Eric,Law,Attack,10,30,20,10,34,29,8,0,14,20,34,0,0,0,0,2,4,3,1,7,5,3,0,0,3,7,0,0,0,0
ATL,Jake,Richard,Midfield,10,3,1,2,3,2,3,4,16,1,2,0,1,0,0,2,0,0,0,2,1,1,0,3,0,2,0,0,0,0
ATL,James,Pannell,Attack,2,1,1,0,4,3,0,0,0,1,4,0,0,0,0,1,0,0,0,2,2,1,0,0,0,2,0,0,0,0
ATL,Joel,Tinney,Midfield,10,14,6,8,23,17,6,2,8,6,23,0,0,0,0,2,3,0,3,4,4,3,0,1,0,4,0,0,0,0
ATL,John,Crawley,Midfield,7,8,5,3,17,10,3,1,2,5,16,0,1,0,0,2,4,2,2,7,2,2,1,1,2,7,0,0,0,0
ATL,Kevin,Unterstein,Midfield,10,5,3,2,8,3,3,3,23,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Kieran,McArdle,Attack,10,25,12,13,43,31,18,0,5,12,42,0,1,0,0,1,2,1,1,6,3,5,0,2,1,6,0,0,0,0
ATL,Jack,Concannon,Goalie,10,0,0,0,0,0,3,1,12,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0
ATL,Kyle,Hartzell,Defense,10,8,2,6,14,7,7,6,16,2,5,0,9,1,2,2,0,0,0,1,0,1,0,5,0,0,0,1,4,13
ATL,Pat,Young,Midfield,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Paul,Rabil,Midfield,10,23,11,11,47,27,17,2,8,10,38,1,9,0,0,2,4,2,2,13,8,3,0,1,2,11,0,2,0,0
ATL,Ryan,Brown,Attack,10,25,21,3,81,46,10,2,8,20,67,1,14,0,0,2,2,2,0,9,5,1,0,1,2,9,0,0,0,0
ATL,Scott,Rodgers,Goalie,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ATL,Shack,Stanwick,Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Steven,Brooks,Midfield,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ATL,Steven,DeNapoli,Midfield,7,2,0,2,1,0,1,1,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Tal,Bruno,Midfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Tim,Semisch,Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,Trevor,Baptiste,Faceoff,10,7,3,3,15,4,10,3,73,2,9,1,6,164,261,1,0,0,0,3,0,0,0,8,0,1,0,2,13,24
ATL,Tucker,Durkin,Defense,10,0,0,0,0,0,1,2,18,0,0,0,0,0,0,2,0,0,0,0,0,0,3,5,0,0,0,0,0,0
ATL,Ryan,Conrad,Midfield,4,0,0,0,3,0,4,2,8,0,3,0,0,0,0,1,2,1,1,1,1,1,1,2,1,1,0,0,0,0
ATL,Noah,Richard,Defense,9,4,3,0,3,3,0,4,23,2,2,1,1,2,8,2,2,1,1,1,1,0,0,3,1,1,0,0,1,6
ATL,Cade,Van,Defense,9,6,3,1,9,4,2,8,17,1,3,2,6,0,0,2,0,0,0,0,0,1,3,5,0,0,0,0,0,0
CHA,Austin,Staats,Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,17
CHA,Billy-Dee,Smith,Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Blaze,Riorden,Goalie,10,0,0,0,0,0,3,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Brad,Self,Midfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,6,0,0,0,0,0,0
CHA,Brodie,Merrill,Defense,10,0,0,0,1,1,6,6,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Charlie,Cipriano,Goalie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
CHA,Connor,Fields,Attack,10,33,22,11,61,49,37,4,15,22,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Curtis,Dickson,Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,8,6,7,0,3,2,8,0,0,0,0
CHA,Dan,Coates,Defense,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Deemer,Class,Midfield,9,13,10,3,32,18,8,1,3,10,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Dhane,Smith,Midfield,5,4,2,2,8,6,2,0,0,2,8,0,0,0,0,1,0,0,0,4,1,0,0,0,0,2,0,2,0,0
CHA,Jake,Froccaro,Midfield,10,27,14,10,56,35,7,4,17,11,48,3,8,0,5,2,4,3,1,4,4,1,0,0,3,4,0,0,0,0
CHA,Jarrod,Neumann,Defense,10,10,5,0,14,7,7,5,15,0,0,5,14,0,0,2,2,2,0,12,7,1,1,2,2,9,0,3,0,0
CHA,Jeremy,Thompson,Midfield,4,0,0,0,5,4,0,0,4,0,3,0,2,0,3,2,0,0,0,2,1,2,1,1,0,0,0,2,0,0
CHA,Joe,Resetarits,Attack,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Josh,Byrne,Attack,8,25,17,8,39,25,7,3,11,17,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Kevin,Buchanan,Midfield,9,9,8,1,23,13,1,2,5,8,22,0,1,0,0,2,4,2,2,3,2,1,0,1,2,3,0,0,0,0
CHA,Kyle,McClancy,Midfield,10,4,1,3,4,3,2,4,14,1,4,0,0,0,0,2,2,1,1,6,5,0,0,1,1,6,0,0,0,0
CHA,Mark,Glicini,Midfield,10,5,2,3,7,4,4,6,18,2,7,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0
CHA,Matt,Rees,Defense,7,6,4,0,10,4,3,3,6,2,4,2,6,0,0,2,0,0,0,1,1,4,0,5,0,0,0,1,0,0
CHA,Miles,Thompson,Attack,7,17,11,6,28,17,5,1,7,11,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Myles,Jones,Midfield,9,18,7,10,43,19,20,3,9,6,34,1,9,0,0,2,4,2,2,7,5,1,0,4,2,7,0,0,0,0
CHA,Patrick,Resch,Midfield,9,1,1,0,3,2,0,1,6,1,3,0,0,0,0,2,3,2,1,8,5,4,2,4,2,7,0,1,0,0
CHA,Thomas,Kelly,Faceoff,10,2,2,0,7,5,13,2,70,2,7,0,0,131,252,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHA,Troy,Reh,Defense,10,7,4,2,10,6,6,4,14,3,5,1,5,0,14,2,0,0,0,2,1,0,0,8,0,2,0,0,20,42
CHA,Tyson,Bell,Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,2,6,0,0,0,2,0,0
CHA,Eric,Scott,Midfield,9,10,7,3,22,12,7,1,6,7,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Jack,Rowlett,Defense,10,2,0,2,3,2,4,8,11,0,1,0,2,2,7,2,0,0,0,2,2,1,0,3,0,2,0,0,0,0
CHA,Johnny,Surdick,Defense,6,0,0,0,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,1
CHA,Greyson,Torain,Midfield,6,1,0,1,2,0,3,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,Mike,Bocklet,Attack,2,3,1,2,4,2,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
